dream_id,name,word_count,toxicity,clip_score,runtime_sec
hall_female,"College women, late 1940s",179,0.0014760427875444293,0.2634793519973755,58.211834192276
dorothea,Dorothea: 53 years of dreams,71,0.0013201450929045677,0.22907845675945282,56.85026717185974
pegasus,Pegasus: a factory worker,123,0.003007990075275302,0.28319209814071655,56.11639904975891
izzy-all,"Izzy (ALL, including non-consecutive)",69,0.09805043041706085,0.1823813021183014,57.087604999542236
norms-f,Hall/VdC Norms: Female,103,0.0007578000659123063,0.24634796380996704,57.812668800354004
norms-m,Hall/VdC Norms: Male,86,0.0006545038777403533,0.2014945149421692,57.67702507972717
